FIPS,Geographic Name,Geographic Subtype,Total Vote,Democratic,Republican,Independent,Libertarian,Constitution,Green,Liberty Union,Write-ins,Ind. American,State1,State2,State3,
fips,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10,vote11,vote12,vote13
10001,Kent,County,85415,44352,39332,1115,616,0,0,0,0,0,0,0,0,0
10003,New Castle,County,280039,191678,82545,3785,2031,0,0,0,0,0,0,0,0,0
10005,Sussex,County,127181,56873,68435,1250,623,0,0,0,0,0,0,0,0,0
18001,Adams,County,14154,2143,9441,0,2570,0,0,0,0,0,0,0,0,0
18003,Allen,County,168312,53895,98406,0,16011,0,0,0,0,0,0,0,0,0
18005,Bartholomew,County,36037,9013,21959,0,5065,0,0,0,0,0,0,0,0,0
18007,Benton,County,4100,671,2815,0,614,0,0,0,0,0,0,0,0,0
18009,Blackford,County,5283,933,3333,0,1017,0,0,0,0,0,0,0,0,0
18011,Boone,County,38492,9661,23737,0,5094,0,0,0,0,0,0,0,0,0
18013,Brown,County,8957,2381,4953,0,1623,0,0,0,0,0,0,0,0,0
18015,Carroll,County,9510,1569,6077,0,1864,0,0,0,0,0,0,0,0,0
18017,Cass,County,15146,3373,8833,0,2940,0,0,0,0,0,0,0,0,0
18019,Clark,County,57426,19077,34669,0,3680,0,0,0,0,0,0,0,0,0
18021,Clay,County,12186,1780,8164,0,2242,0,0,0,0,0,0,0,0,0
18023,Clinton,County,12891,2406,7971,0,2514,0,0,0,0,0,0,0,0,0
18025,Crawford,County,4859,1242,3064,0,553,0,0,0,0,0,0,0,0,0
18027,Daviess,County,11860,1531,8313,0,2016,0,0,0,0,0,0,0,0,0
18029,Dearborn,County,25295,4559,18353,0,2383,0,0,0,0,0,0,0,0,0
18031,Decatur,County,12260,1562,7911,0,2787,0,0,0,0,0,0,0,0,0
18033,DeKalb,County,19493,3293,13042,0,3158,0,0,0,0,0,0,0,0,0
18035,Delaware,County,47949,15638,26829,0,5482,0,0,0,0,0,0,0,0,0
18037,Dubois,County,21588,4586,14403,0,2599,0,0,0,0,0,0,0,0,0
18039,Elkhart,County,74425,20512,46223,0,7690,0,0,0,0,0,0,0,0,0
18041,Fayette,County,10054,1707,6933,0,1414,0,0,0,0,0,0,0,0,0
18043,Floyd,County,41589,14948,24972,0,1669,0,0,0,0,0,0,0,0,0
18045,Fountain,County,7952,1150,5189,0,1613,0,0,0,0,0,0,0,0,0
18047,Franklin,County,11822,1690,8633,0,1499,0,0,0,0,0,0,0,0,0
18049,Fulton,County,9123,1603,5436,0,2084,0,0,0,0,0,0,0,0,0
18051,Gibson,County,16130,2990,11607,0,1533,0,0,0,0,0,0,0,0,0
18053,Grant,County,27021,5849,16847,0,4325,0,0,0,0,0,0,0,0,0
18055,Greene,County,14694,2511,9579,0,2604,0,0,0,0,0,0,0,0,0
18057,Hamilton,County,193584,58714,117749,0,17121,0,0,0,0,0,0,0,0,0
18059,Hancock,County,42809,8538,25647,0,8624,0,0,0,0,0,0,0,0,0
18061,Harrison,County,20199,4514,14083,0,1602,0,0,0,0,0,0,0,0,0
18063,Hendricks,County,88122,23179,50697,0,14246,0,0,0,0,0,0,0,0,0
18065,Henry,County,21061,4128,12491,0,4442,0,0,0,0,0,0,0,0,0
18067,Howard,County,40547,9871,24359,0,6317,0,0,0,0,0,0,0,0,0
18069,Huntington,County,17731,2804,11759,0,3168,0,0,0,0,0,0,0,0,0
18071,Jackson,County,19136,3234,11714,0,4188,0,0,0,0,0,0,0,0,0
18073,Jasper,County,15371,2904,10378,0,2089,0,0,0,0,0,0,0,0,0
18075,Jay,County,8405,1240,5227,0,1938,0,0,0,0,0,0,0,0,0
18077,Jefferson,County,14537,3711,9076,0,1750,0,0,0,0,0,0,0,0,0
18079,Jennings,County,12153,1930,7547,0,2676,0,0,0,0,0,0,0,0,0
18081,Johnson,County,77274,17630,47467,0,12177,0,0,0,0,0,0,0,0,0
18083,Knox,County,15840,2809,11210,0,1821,0,0,0,0,0,0,0,0,0
18085,Kosciusko,County,35658,5784,23029,0,6845,0,0,0,0,0,0,0,0,0
18087,LaGrange,County,10575,1690,7520,0,1365,0,0,0,0,0,0,0,0,0
18089,Lake,County,217232,112352,94841,0,10039,0,0,0,0,0,0,0,0,0
